Region,Création moyenne d'entreprise par an entre 2015 et 2025 par 1000 habitants
Auvergne-Rhône-Alpes,12.67
Bourgogne-Franche-Comté,9.17
Bretagne,9.25
Centre-Val de Loire,9.24
Corse,14.97
Grand Est,9.22
Hauts-de-France,8.89
Normandie,8.76
Nouvelle-Aquitaine,12.03
Occitanie,13.31
Pays de la Loire,9.64
Provence-Alpes-Côte d'Azur,16.67
Île-de-France,19.46
