region,region_code,year,population
France métropolitaine,FM,2021,65505213
Grand Est,44,2021,5561287
Guadeloupe,01,2021,384315
Guyane,03,2021,286618
Hauts-de-France,32,2021,5995292
La Réunion,04,2021,871157
Martinique,02,2021,360749
Mayotte,06,2021,289039
Normandie,28,2021,3327966
Nouvelle-Aquitaine,75,2021,6069352
Occitanie,76,2021,6022176
Pays de la Loire,52,2021,3853999
Provence-Alpes-Côte d'Azur,93,2021,5127840
Île-de-France,11,2021,12317279
Auvergne-Rhône-Alpes,84,2022,8163884
Bourgogne-Franche-Comté,27,2022,2803977
Bretagne,53,2022,3422845
Centre-Val-de-Loire,24,2022,2581597
Corse,94,2022,351276
France métropolitaine,FM,2022,65846255
Grand Est,44,2022,5560079
Guadeloupe,01,2022,383569
Guyane,03,2022,288382
Hauts-de-France,32,2022,5998916
La Réunion,04,2022,881348
Martinique,02,2022,361019
Mayotte,06,2022,299634
Normandie,28,2022,3339074
Nouvelle-Aquitaine,75,2022,6113384
Occitanie,76,2022,6080731
Pays de la Loire,52,2022,3879216
Provence-Alpes-Côte d'Azur,93,2022,5170312
Île-de-France,11,2022,12380964
Auvergne-Rhône-Alpes,84,2023,8196436
Bourgogne-Franche-Comté,27,2023,2800234
Bretagne,53,2023,3440248
Centre-Val-de-Loire,24,2023,2581716
Corse,94,2023,354266
France métropolitaine,FM,2023,66017385
Grand Est,44,2023,5554472
Guadeloupe,01,2023,382733
Guyane,03,2023,290110
Hauts-de-France,32,2023,5990292
La Réunion,04,2023,886453
Martinique,02,2023,359202
Mayotte,06,2023,310199
Normandie,28,2023,3339522
Nouvelle-Aquitaine,75,2023,6138814
Occitanie,76,2023,6121253
Pays de la Loire,52,2023,3898424
Provence-Alpes-Côte d'Azur,93,2023,5194349
Île-de-France,11,2023,12407359
Auvergne-Rhône-Alpes,84,2024,8228802
Bourgogne-Franche-Comté,27,2024,2797160
Bretagne,53,2024,3458588
Centre-Val-de-Loire,24,2024,2582015
Corse,94,2024,357237
France métropolitaine,FM,2024,66192959
Grand Est,44,2024,5549724
Guadeloupe,01,2024,381909
Guyane,03,2024,291774
Hauts-de-France,32,2024,5982538
La Réunion,04,2024,892102
Martinique,02,2024,357590
Mayotte,06,2024,320282
Normandie,28,2024,3341043
Nouvelle-Aquitaine,75,2024,6166602
Occitanie,76,2024,6162302
Pays de la Loire,52,2024,3918256
Provence-Alpes-Côte d'Azur,93,2024,5218341
Île-de-France,11,2024,12430351
Auvergne-Rhône-Alpes,84,2025,8260096
Bourgogne-Franche-Comté,27,2025,2793080
Bretagne,53,2025,3475895
Centre-Val-de-Loire,24,2025,2581479
Corse,94,2025,360162
France métropolitaine,FM,2025,66351959
Grand Est,44,2025,5544051
Guadeloupe,01,2025,380387
Guyane,03,2025,292354
Hauts-de-France,32,2025,5973933
La Réunion,04,2025,896175
Martinique,02,2025,355459
Mayotte,06,2025,329282
Normandie,28,2025,3341312
Nouvelle-Aquitaine,75,2025,6191209
Occitanie,76,2025,6201587
Pays de la Loire,52,2025,3936719
Provence-Alpes-Côte d'Azur,93,2025,5241587
Île-de-France,11,2025,12450849
