region,region_code,year,population
Occitanie,76,1985,4375084
Pays de la Loire,52,1985,2986459
Provence-Alpes-Côte d'Azur,93,1985,4060921
Île-de-France,11,1985,10238860
Auvergne-Rhône-Alpes,84,1986,6486414
Bourgogne-Franche-Comté,27,1986,2696203
Bretagne,53,1986,2748893
Centre-Val-de-Loire,24,1986,2319839
Corse,94,1986,245371
France métropolitaine,FM,1986,55411238
Grand Est,44,1986,5270157
Hauts-de-France,32,1986,5718429
Normandie,28,1986,3072918
Nouvelle-Aquitaine,75,1986,5041496
Occitanie,76,1986,4395485
Pays de la Loire,52,1986,3001676
Provence-Alpes-Côte d'Azur,93,1986,4098667
Île-de-France,11,1986,10315690
Auvergne-Rhône-Alpes,84,1987,6519946
Bourgogne-Franche-Comté,27,1987,2699268
Bretagne,53,1987,2759629
Centre-Val-de-Loire,24,1987,2329632
Corse,94,1987,245913
France métropolitaine,FM,1987,55681780
Grand Est,44,1987,5269476
Hauts-de-France,32,1987,5731425
Normandie,28,1987,3082756
Nouvelle-Aquitaine,75,1987,5055656
Occitanie,76,1987,4427505
Pays de la Loire,52,1987,3019731
Provence-Alpes-Côte d'Azur,93,1987,4137834
Île-de-France,11,1987,10403009
Auvergne-Rhône-Alpes,84,1988,6563254
Bourgogne-Franche-Comté,27,1988,2702789
Bretagne,53,1988,2771053
Centre-Val-de-Loire,24,1988,2342323
Corse,94,1988,247175
France métropolitaine,FM,1988,55966142
Grand Est,44,1988,5269323
Hauts-de-France,32,1988,5737249
Normandie,28,1988,3099809
Nouvelle-Aquitaine,75,1988,5075366
Occitanie,76,1988,4462366
Pays de la Loire,52,1988,3026970
Provence-Alpes-Côte d'Azur,93,1988,4177908
Île-de-France,11,1988,10490557
Auvergne-Rhône-Alpes,84,1989,6611182
Bourgogne-Franche-Comté,27,1989,2705519
Bretagne,53,1989,2782881
Centre-Val-de-Loire,24,1989,2356450
Corse,94,1989,248354
France métropolitaine,FM,1989,56269810
Grand Est,44,1989,5275272
Hauts-de-France,32,1989,5751091
Normandie,28,1989,3113944
Nouvelle-Aquitaine,75,1989,5094272
Occitanie,76,1989,4501382
Pays de la Loire,52,1989,3043085
Provence-Alpes-Côte d'Azur,93,1989,4215629
Île-de-France,11,1989,10570749
Auvergne-Rhône-Alpes,84,1990,6668168
Bourgogne-Franche-Comté,27,1990,2705826
Bretagne,53,1990,2794317
Centre-Val-de-Loire,24,1990,2369808
Corse,94,1990,249645
France métropolitaine,FM,1990,56577000
Grand Est,44,1990,5274064
Guadeloupe,01,1990,351844
Guyane,03,1990,113351
Hauts-de-France,32,1990,5770671
Martinique,02,1990,358406
Normandie,28,1990,3126859
Nouvelle-Aquitaine,75,1990,5114287
Occitanie,76,1990,4546249
Pays de la Loire,52,1990,3055197
Provence-Alpes-Côte d'Azur,93,1990,4257244
Île-de-France,11,1990,10644665
Auvergne-Rhône-Alpes,84,1991,6708765
Bourgogne-Franche-Comté,27,1991,2710540
Bretagne,53,1991,2803483
Centre-Val-de-Loire,24,1991,2381407
Corse,94,1991,251659
France métropolitaine,FM,1991,56840661
Grand Est,44,1991,5288277
Guadeloupe,01,1991,354536
Guyane,03,1991,117327
Hauts-de-France,32,1991,5783059
La Réunion,04,1991,607837
Martinique,02,1991,359774
Normandie,28,1991,3139258
Nouvelle-Aquitaine,75,1991,5132928
Occitanie,76,1991,4580630
Pays de la Loire,52,1991,3071600
Provence-Alpes-Côte d'Azur,93,1991,4293499
Île-de-France,11,1991,10695556
Auvergne-Rhône-Alpes,84,1992,6750446
Bourgogne-Franche-Comté,27,1992,2715591
Bretagne,53,1992,2811473
Centre-Val-de-Loire,24,1992,2393043
Corse,94,1992,251698
France métropolitaine,FM,1992,57110533
Grand Est,44,1992,5303373
Guadeloupe,01,1992,357482
Guyane,03,1992,121469
Hauts-de-France,32,1992,5797478
La Réunion,04,1992,620333
Martinique,02,1992,361420
Normandie,28,1992,3151246
Nouvelle-Aquitaine,75,1992,5150556
Occitanie,76,1992,4615465
Pays de la Loire,52,1992,3090225
Provence-Alpes-Côte d'Azur,93,1992,4326663
Île-de-France,11,1992,10753276
Auvergne-Rhône-Alpes,84,1993,6790892
Bourgogne-Franche-Comté,27,1993,2720016
Bretagne,53,1993,2822722
Centre-Val-de-Loire,24,1993,2403487
Corse,94,1993,253595
France métropolitaine,FM,1993,57369161
Grand Est,44,1993,5323379
Guadeloupe,01,1993,360681
Guyane,03,1993,125786
Hauts-de-France,32,1993,5812705
La Réunion,04,1993,633030
Martinique,02,1993,363344
Normandie,28,1993,3162794
Nouvelle-Aquitaine,75,1993,5167099
Occitanie,76,1993,4651399
Pays de la Loire,52,1993,3110784
Provence-Alpes-Côte d'Azur,93,1993,4356875
Île-de-France,11,1993,10793414
Auvergne-Rhône-Alpes,84,1994,6812295
Bourgogne-Franche-Comté,27,1994,2722947
Bretagne,53,1994,2830583
Centre-Val-de-Loire,24,1994,2410394
Corse,94,1994,256977
France métropolitaine,FM,1994,57565008
Grand Est,44,1994,5339076
Guadeloupe,01,1994,364140
Guyane,03,1994,130282
Hauts-de-France,32,1994,5822230
La Réunion,04,1994,645093
Martinique,02,1994,365554
Normandie,28,1994,3171102
Nouvelle-Aquitaine,75,1994,5177699
Occitanie,76,1994,4676452
Pays de la Loire,52,1994,3128438
Provence-Alpes-Côte d'Azur,93,1994,4383592
Île-de-France,11,1994,10833223
Auvergne-Rhône-Alpes,84,1995,6837322
Bourgogne-Franche-Comté,27,1995,2727049
Bretagne,53,1995,2840680
Centre-Val-de-Loire,24,1995,2418315
Corse,94,1995,258416
France métropolitaine,FM,1995,57752535
Grand Est,44,1995,5353077
Guadeloupe,01,1995,367867
Guyane,03,1995,134968
Hauts-de-France,32,1995,5832496
La Réunion,04,1995,657162
Martinique,02,1995,368045
Normandie,28,1995,3179350
Nouvelle-Aquitaine,75,1995,5191946
Occitanie,76,1995,4703840
Pays de la Loire,52,1995,3145757
Provence-Alpes-Côte d'Azur,93,1995,4405312
Île-de-France,11,1995,10858975
Auvergne-Rhône-Alpes,84,1996,6862646
Bourgogne-Franche-Comté,27,1996,2728671
Bretagne,53,1996,2853664
Centre-Val-de-Loire,24,1996,2424326
Corse,94,1996,259168
France métropolitaine,FM,1996,57935959
Grand Est,44,1996,5364143
Guadeloupe,01,1996,371873
Guyane,03,1996,139848
Hauts-de-France,32,1996,5843500
La Réunion,04,1996,668915
Martinique,02,1996,370818
Normandie,28,1996,3185902
Nouvelle-Aquitaine,75,1996,5203511
Occitanie,76,1996,4736347
Pays de la Loire,52,1996,3164039
Provence-Alpes-Côte d'Azur,93,1996,4426194
Île-de-France,11,1996,10883848
Auvergne-Rhône-Alpes,84,1997,6890849
Bourgogne-Franche-Comté,27,1997,2729120
Bretagne,53,1997,2870354
Centre-Val-de-Loire,24,1997,2432034
Corse,94,1997,259097
France métropolitaine,FM,1997,58116018
Grand Est,44,1997,5374950
Guadeloupe,01,1997,376164
Guyane,03,1997,144937
Hauts-de-France,32,1997,5849947
La Réunion,04,1997,680185
Martinique,02,1997,373873
Normandie,28,1997,3192472
Nouvelle-Aquitaine,75,1997,5218947
Occitanie,76,1997,4769512
Pays de la Loire,52,1997,3182305
Provence-Alpes-Côte d'Azur,93,1997,4451004
Île-de-France,11,1997,10895427
Auvergne-Rhône-Alpes,84,1998,6918402
Bourgogne-Franche-Comté,27,1998,2729147
Bretagne,53,1998,2888237
Centre-Val-de-Loire,24,1998,2438205
Corse,94,1998,259466
France métropolitaine,FM,1998,58298962
Grand Est,44,1998,5378869
Guadeloupe,01,1998,380738
Guyane,03,1998,150242
Hauts-de-France,32,1998,5851772
La Réunion,04,1998,692184
Martinique,02,1998,377221
Normandie,28,1998,3198166
Nouvelle-Aquitaine,75,1998,5236483
Occitanie,76,1998,4807490
Pays de la Loire,52,1998,3200459
Provence-Alpes-Côte d'Azur,93,1998,4479644
Île-de-France,11,1998,10912622
Auvergne-Rhône-Alpes,84,1999,6949608
Bourgogne-Franche-Comté,27,1999,2728086
Bretagne,53,1999,2904075
Centre-Val-de-Loire,24,1999,2440295
Corse,94,1999,260152
France métropolitaine,FM,1999,58496613
Grand Est,44,1999,5387509
Guadeloupe,01,1999,385609
Guyane,03,1999,155760
Hauts-de-France,32,1999,5855448
La Réunion,04,1999,703820
Martinique,02,1999,380863
Normandie,28,1999,3202449
Nouvelle-Aquitaine,75,1999,5257954
Occitanie,76,1999,4842680
Pays de la Loire,52,1999,3219960
Provence-Alpes-Côte d'Azur,93,1999,4502385
Île-de-France,11,1999,10946012
Auvergne-Rhône-Alpes,84,2000,7000751
Bourgogne-Franche-Comté,27,2000,2734330
Bretagne,53,2000,2927612
Centre-Val-de-Loire,24,2000,2450121
Corse,94,2000,264539
France métropolitaine,FM,2000,58858198
Grand Est,44,2000,5400871
Guadeloupe,01,2000,388045
Guyane,03,2000,162018
Hauts-de-France,32,2000,5860802
La Réunion,04,2000,716314
Martinique,02,2000,383575
Normandie,28,2000,3211503
Nouvelle-Aquitaine,75,2000,5296850
Occitanie,76,2000,4900326
Pays de la Loire,52,2000,3248994
Provence-Alpes-Côte d'Azur,93,2000,4541508
Île-de-France,11,2000,11019991
Auvergne-Rhône-Alpes,84,2001,7057821
Bourgogne-Franche-Comté,27,2001,2742346
Bretagne,53,2001,2954324
Centre-Val-de-Loire,24,2001,2461778
Corse,94,2001,269273
France métropolitaine,FM,2001,59266572
Grand Est,44,2001,5416747
Guadeloupe,01,2001,390672
Guyane,03,2001,168614
Hauts-de-France,32,2001,5869901
La Réunion,04,2001,729010
Martinique,02,2001,386542
Normandie,28,2001,3221806
Nouvelle-Aquitaine,75,2001,5340843
Occitanie,76,2001,4962851
Pays de la Loire,52,2001,3281679
Provence-Alpes-Côte d'Azur,93,2001,4584379
Île-de-France,11,2001,11102824
Auvergne-Rhône-Alpes,84,2002,7115944
Bourgogne-Franche-Comté,27,2002,2749892
Bretagne,53,2002,2981765
Centre-Val-de-Loire,24,2002,2472978
Corse,94,2002,274093
France métropolitaine,FM,2002,59685899
Grand Est,44,2002,5432715
Guadeloupe,01,2002,393024
Guyane,03,2002,176638
Hauts-de-France,32,2002,5879893
La Réunion,04,2002,740207
Martinique,02,2002,389302
Normandie,28,2002,3231900
