creations_per_1000,Taux de chômage par région,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
11.14,7.725,18.03,0.58,27209.0,2018,Auvergne-Rhône-Alpes
13.21,7.3,18.03,0.61,27841.0,2019,Auvergne-Rhône-Alpes
13.6,7.1,18.03,0.44,28789.0,2020,Auvergne-Rhône-Alpes
15.31,6.925,18.03,0.44,28783.0,2021,Auvergne-Rhône-Alpes
15.39,6.225,18.03,0.61,29947.0,2022,Auvergne-Rhône-Alpes
14.74,6.275,18.03,0.4,31095.0,2023,Auvergne-Rhône-Alpes
11.51,11.5,18.13,0.49,25631.0,2015,Provence-Alpes-Côte d'Azur
11.94,11.25,18.13,0.28,25769.0,2016,Provence-Alpes-Côte d'Azur
12.72,10.7,18.13,0.18,26326.0,2017,Provence-Alpes-Côte d'Azur
14.57,10.3,18.13,0.44,26904.0,2018,Provence-Alpes-Côte d'Azur
16.55,9.6,18.13,0.56,27507.0,2019,Provence-Alpes-Côte d'Azur
16.98,9.075,18.13,0.35,28552.0,2020,Provence-Alpes-Côte d'Azur
20.84,8.875,18.13,0.57,28574.0,2021,Provence-Alpes-Côte d'Azur
21.37,8.15,18.13,0.83,29680.0,2022,Provence-Alpes-Côte d'Azur
19.86,8.025,18.13,0.46,30822.0,2023,Provence-Alpes-Côte d'Azur
11.6,10.425,12.53,0.95,23137.0,2015,Corse
12.16,10.0,12.53,0.97,23474.0,2016,Corse
12.78,9.425,12.53,1.36,23902.0,2017,Corse
13.62,8.8,12.53,1.08,24186.0,2018,Corse
15.35,8.075,12.53,0.56,24793.0,2019,Corse
14.39,7.85,12.53,0.96,25777.0,2020,Corse
16.73,6.725,12.53,1.13,25845.0,2021,Corse
17.33,6.1,12.53,1.06,26882.0,2022,Corse
17.47,6.375,12.53,0.85,27757.0,2023,Corse
