;ANNEE1;REGION;SALAIRE;REGION_NOM
1180;2017;R75;26277;Nouvelle-Aquitaine
1181;2017;R76;27344;Occitanie
1182;2017;R52;26395;Pays de la Loire
1183;2017;R93;28544;Provence-Alpes-Côte d_Azur
1184;2017;R1;27141;Guadeloupe
1185;2017;R2;26760;Martinique
1186;2017;R3;28089;Guyane
1187;2017;R4;24758;La Réunion
1188;2018;E;28024;Ensemble
1189;2018;R84;27209;Auvergne-Rhône-Alpes
1190;2018;R27;24697;Bourgogne-Franche-Comté
1191;2018;R53;24859;Bretagne
1192;2018;R24;25553;Centre-Val de Loire
1193;2018;R94;24186;Corse
1194;2018;R44;25290;Grand Est
1195;2018;R32;25586;Hauts-de-France
1196;2018;R11;35377;Île-de-France
1197;2018;R28;25390;Normandie
1198;2018;R75;25105;Nouvelle-Aquitaine
1199;2018;R76;25858;Occitanie
1200;2018;R52;25125;Pays de la Loire
1201;2018;R93;26904;Provence-Alpes-Côte d_Azur
1202;2018;R1;26493;Guadeloupe
1203;2018;R2;26252;Martinique
1204;2018;R3;27124;Guyane
1205;2018;R4;24375;La Réunion
1206;2018;E;25158;Ensemble
1207;2018;R84;24077;Auvergne-Rhône-Alpes
1208;2018;R27;22041;Bourgogne-Franche-Comté
1209;2018;R53;22357;Bretagne
1210;2018;R24;23017;Centre-Val de Loire
1211;2018;R94;22245;Corse
1212;2018;R44;22449;Grand Est
1213;2018;R32;22902;Hauts-de-France
1214;2018;R11;31946;Île-de-France
1215;2018;R28;22616;Normandie
1216;2018;R75;22670;Nouvelle-Aquitaine
1217;2018;R76;23039;Occitanie
1218;2018;R52;22410;Pays de la Loire
1219;2018;R93;23910;Provence-Alpes-Côte d_Azur
1220;2018;R1;25114;Guadeloupe
1221;2018;R2;24841;Martinique
1222;2018;R3;25438;Guyane
1223;2018;R4;23260;La Réunion
1224;2018;E;30053;Ensemble
1225;2018;R84;29373;Auvergne-Rhône-Alpes
1226;2018;R27;26524;Bourgogne-Franche-Comté
1227;2018;R53;26647;Bretagne
1228;2018;R24;27349;Centre-Val de Loire
1229;2018;R94;25649;Corse
1230;2018;R44;27280;Grand Est
1231;2018;R32;27256;Hauts-de-France
1232;2018;R11;37928;Île-de-France
1233;2018;R28;27244;Normandie
1234;2018;R75;26890;Nouvelle-Aquitaine
1235;2018;R76;27894;Occitanie
1236;2018;R52;27011;Pays de la Loire
1237;2018;R93;29132;Provence-Alpes-Côte d_Azur
1238;2018;R1;27742;Guadeloupe
1239;2018;R2;27520;Martinique
1240;2018;R3;28162;Guyane
1241;2018;R4;25102;La Réunion
1242;2019;E;28631;Ensemble
1243;2019;R84;27841;Auvergne-Rhône-Alpes
1244;2019;R27;25370;Bourgogne-Franche-Comté
1245;2019;R53;25512;Bretagne
1246;2019;R24;26144;Centre-Val de Loire
1247;2019;R94;24793;Corse
1248;2019;R44;25916;Grand Est
1249;2019;R32;26237;Hauts-de-France
1250;2019;R11;35902;Île-de-France
1251;2019;R28;26060;Normandie
1252;2019;R75;25758;Nouvelle-Aquitaine
1253;2019;R76;26455;Occitanie
1254;2019;R52;25807;Pays de la Loire
1255;2019;R93;27507;Provence-Alpes-Côte d_Azur
1256;2019;R1;26592;Guadeloupe
1257;2019;R2;26337;Martinique
1258;2019;R3;27376;Guyane
1259;2019;R4;24706;La Réunion
1260;2019;E;25872;Ensemble
1261;2019;R84;24794;Auvergne-Rhône-Alpes
1262;2019;R27;22753;Bourgogne-Franche-Comté
1263;2019;R53;23019;Bretagne
1264;2019;R24;23650;Centre-Val de Loire
1265;2019;R94;22812;Corse
1266;2019;R44;23122;Grand Est
1267;2019;R32;23539;Hauts-de-France
1268;2019;R11;32795;Île-de-France
1269;2019;R28;23280;Normandie
1270;2019;R75;23366;Nouvelle-Aquitaine
1271;2019;R76;23734;Occitanie
1272;2019;R52;23115;Pays de la Loire
