ANNEE1;SEXE;REGION;SALAIRE
2001;F;R27;15424
2001;F;R53;15414
2001;F;R24;16171
2001;F;R94;15473
2001;F;R44;15777
2001;F;R32;15958
2001;F;R11;21826
2001;F;R28;15842
2001;F;R75;15765
2001;F;R76;15947
2001;F;R52;15327
2001;F;R93;16569
2001;F;R1;16864
2001;F;R2;16897
2001;F;R3;19035
2001;F;R4;16701
2001;H;E;22142
2001;H;R84;21310
2001;H;R27;19622
2001;H;R53;19468
2001;H;R24;20342
2001;H;R94;18284
2001;H;R44;20459
2001;H;R32;19991
2001;H;R11;28682
2001;H;R28;20112
2001;H;R75;19512
2001;H;R76;19989
2001;H;R52;19549
2001;H;R93;21024
2001;H;R1;20173
2001;H;R2;20259
2001;H;R3;23460
2001;H;R4;17881
2002;E;E;20786
2002;E;R84;19940
2002;E;R27;18535
2002;E;R53;18406
2002;E;R24;19167
2002;E;R94;17790
2002;E;R44;19081
2002;E;R32;19076
2002;E;R11;26335
2002;E;R28;18974
2002;E;R75;18470
2002;E;R76;18942
2002;E;R52;18401
2002;E;R93;19796
2002;E;R1;19181
2002;E;R2;19319
2002;E;R3;21965
2002;E;R4;17925
2002;F;E;17841
2002;F;R84;16857
2002;F;R27;15820
2002;F;R53;15844
2002;F;R24;16554
2002;F;R94;15950
2002;F;R44;16067
2002;F;R32;16337
2002;F;R11;22308
2002;F;R28;16184
2002;F;R75;16114
2002;F;R76;16362
2002;F;R52;15739
2002;F;R93;16983
2002;F;R1;17414
2002;F;R2;17518
2002;F;R3;19232
2002;F;R4;17094
2002;H;E;22634
2002;H;R84;21813
2002;H;R27;20125
2002;H;R53;20053
2002;H;R24;20822
2002;H;R94;18986
2002;H;R44;20880
2002;H;R32;20496
2002;H;R11;29184
2002;H;R28;20563
2002;H;R75;19974
2002;H;R76;20593
2002;H;R52;20006
2002;H;R93;21629
2002;H;R1;20706
2002;H;R2;20823
2002;H;R3;23454
2002;H;R4;18372
2003;E;E;21224
2003;E;R84;20418
2003;E;R27;18984
2003;E;R53;18843
2003;E;R24;19628
2003;E;R94;18261
2003;E;R44;19518
2003;E;R32;19519
2003;E;R11;26801
