GEO;GEO_OBJECT;AGE;SEX;EDUC;STUD_AREA;RP_MEASURE;FREQ;TIME_PERIOD;OBS_VALUE;GEO_str;region_nom
27;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;196149.24622;27;Bourgogne-Franche-Comté
11;REG;Y_GE15;M;_T;_Z;POP;A;2022;4136089.42747;11;Île-de-France
52;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;268906.46422;52;Pays de la Loire
76;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;1065544.25545;76;Occitanie
84;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;1445069.98691;84;Auvergne-Rhône-Alpes
24;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;81001.03896;24;Centre-Val de Loire
53;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;242319.36155;53;Bretagne
32;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;367336.08255;32;Hauts-de-France
44;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;1170484.06219;44;Grand Est
24;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;62241.1815;24;Centre-Val de Loire
52;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;160680.6507;52;Pays de la Loire
02;REG;Y_GE15;F;_T;_Z;POP;A;2022;154448.05649;02;Martinique
24;REG;Y_GE15;F;_T;_Z;POP;A;2022;1012795.33774;24;Centre-Val de Loire
27;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;193568.18182;27;Bourgogne-Franche-Comté
52;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;270902.03866;52;Pays de la Loire
24;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;338793.89692;24;Centre-Val de Loire
75;REG;Y_GE15;M;_T;_Z;POP;A;2022;2231815.50629;75;Nouvelle-Aquitaine
44;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;360162.85431;44;Grand Est
02;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;10465.9784;02;Martinique
24;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;158223.64754;24;Centre-Val de Loire
24;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;308149.65177;24;Centre-Val de Loire
75;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;406267.85472;75;Nouvelle-Aquitaine
53;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;374993.53056;53;Bretagne
93;REG;Y_GE15;_T;_T;_Z;POP;A;2022;3911215.6581;93;Provence-Alpes-Côte d'Azur
76;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;395422.94725;76;Occitanie
11;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;1341683.70646;11;Île-de-France
75;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;271638.71924;75;Nouvelle-Aquitaine
27;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;457810.91489;27;Bourgogne-Franche-Comté
52;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;315890.92962;52;Pays de la Loire
03;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;12824.22228;03;Guyane
84;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;626189.93345;84;Auvergne-Rhône-Alpes
94;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;22015.75195;94;Corse
02;REG;Y_GE15;M;_T;_Z;POP;A;2022;124539.92211;02;Martinique
75;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;440328.11615;75;Nouvelle-Aquitaine
01;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;22665.04008;01;Guadeloupe
24;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;180570.24938;24;Centre-Val de Loire
76;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;375946.46595;76;Occitanie
24;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;99128.53871;24;Centre-Val de Loire
53;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;152189.21815;53;Bretagne
28;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;302106.14077;28;Normandie
02;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;8392.60039;02;Martinique
27;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;127662.89521;27;Bourgogne-Franche-Comté
53;REG;Y_GE15;M;_T;_Z;POP;A;2022;1231667.81708;53;Bretagne
27;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;346238.36132;27;Bourgogne-Franche-Comté
24;REG;Y_GE15;_T;_T;_Z;POP;A;2022;1942603.31852;24;Centre-Val de Loire
24;REG;Y_GE15;M;_T;_Z;POP;A;2022;929807.98078;24;Centre-Val de Loire
27;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;604229.11442;27;Bourgogne-Franche-Comté
52;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;512997.09269;52;Pays de la Loire
32;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;373944.27767;32;Hauts-de-France
28;REG;Y_GE15;M;_T;_Z;POP;A;2022;1189067.72513;28;Normandie
52;REG;Y_GE15;_T;_T;_Z;POP;A;2022;2858732.80843;52;Pays de la Loire
03;REG;Y_GE15;F;_T;_Z;POP;A;2022;86598.69708;03;Guyane
94;REG;Y_GE15;F;_T;_Z;POP;A;2022;143471.21922;94;Corse
75;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;544445.25851;75;Nouvelle-Aquitaine
94;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;27722.57539;94;Corse
04;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;58443.21473;04;La Réunion
11;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;937757.58454;11;Île-de-France
53;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;252287.62646;53;Bretagne
11;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;1023468.06286;11;Île-de-France
76;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;295371.57192;76;Occitanie
27;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;264242.73308;27;Bourgogne-Franche-Comté
93;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;402441.4705;93;Provence-Alpes-Côte d'Azur
53;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;162345.81257;53;Bretagne
24;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;231072.25944;24;Centre-Val de Loire
03;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;10813.05098;03;Guyane
32;REG;Y_GE15;_T;_T;_Z;POP;A;2022;4349540.67182;32;Hauts-de-France
