"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"68";"DEP";"ENTIND_X_MICRO";"BURE";2022;1115
"A";"95";"DEP";"54";"BURE";2024;967
"A";"93";"REG";"54";"BURE";2023;6587
"A";"91";"DEP";"ENTIND_X_MICRO";"BURE";2022;2180
"A";"33";"DEP";"ENTIND_X_MICRO";"BURE";2024;3398
"A";"08";"DEP";"54";"BURE";2021;234
"A";"52";"REG";"ENTIND_X_MICRO";"BURE";2019;7926
"A";"01";"REG";"OTH_SIDE";"BURE";2019;436
"A";"53";"REG";"OTH_SIDE";"BURE";2019;879
"A";"56";"DEP";"54";"BURE";2019;941
"A";"13";"DEP";"ENTIND_X_MICRO";"BURE";2020;3651
"A";"93";"DEP";"57";"BURE";2019;6568
"A";"42";"DEP";"OTH_SIDE";"BURE";2020;97
"A";"87";"DEP";"57";"BURE";2018;313
"A";"53";"REG";"54";"BURE";2021;4739
"A";"71";"DEP";"MICRO";"BURE";2021;3661
"A";"44";"DEP";"MICRO";"BURE";2019;9563
"A";"971";"DEP";"ENTIND_X_MICRO";"BURE";2017;1043
"A";"31";"DEP";"57";"BURE";2016;2494
"A";"01";"DEP";"OTH_SIDE";"BURE";2018;89
"A";"44";"REG";"54";"BURE";2017;4192
"A";"57";"DEP";"54";"BURE";2016;610
"A";"74";"DEP";"ENTIND_X_MICRO";"BURE";2015;1655
"A";"973";"DEP";"OTH_SIDE";"BURE";2015;54
"A";"06";"DEP";"57";"BURE";2017;3444
"A";"52";"REG";"54";"BURE";2018;4050
"A";"35";"DEP";"57";"BURE";2015;570
"A";"27";"DEP";"ENTIND_X_MICRO";"BURE";2016;769
"A";"47";"DEP";"57";"BURE";2017;345
"A";"2B";"DEP";"_T";"BURE";2017;2158
"A";"973";"DEP";"_T";"BURE";2021;2952
"A";"F";"FRANCE";"OTH_SIDE";"BURE";2018;16701
"A";"04";"DEP";"_T";"BURE";2019;2064
"A";"62";"DEP";"_T";"BURE";2017;7724
"A";"79";"DEP";"_T";"BURE";2023;3503
"A";"76";"DEP";"_T";"BURE";2021;14182
"A";"78";"DEP";"_T";"BURE";2016;13738
"A";"03";"DEP";"_T";"BURE";2017;2020
"A";"F";"FRANCE";"MICRO";"BURE";2012;303258
"A";"85";"DEP";"_T";"BURE";2022;7814
"A";"14";"DEP";"_T";"BURE";2015;4861
"A";"87";"DEP";"57";"BURE";2023;449
"A";"79";"DEP";"57";"BURE";2022;397
"A";"54";"DEP";"MICRO";"BURE";2024;6034
"A";"29";"DEP";"ENTIND_X_MICRO";"BURE";2023;1574
"A";"27";"REG";"57";"BURE";2022;4196
"A";"92";"DEP";"54";"BURE";2024;1693
"A";"31";"DEP";"OTH_SIDE";"BURE";2024;315
"A";"77";"DEP";"ENTIND_X_MICRO";"BURE";2022;2233
"A";"976";"DEP";"ENTIND_X_MICRO";"BURE";2024;456
"A";"42";"DEP";"54";"BURE";2023;581
"A";"75";"REG";"57";"BURE";2024;11579
"A";"31";"DEP";"ENTIND_X_MICRO";"BURE";2023;2828
"A";"54";"DEP";"OTH_SIDE";"BURE";2014;64
"A";"973";"DEP";"57";"BURE";2013;298
"A";"67";"DEP";"57";"BURE";2012;454
"A";"06";"REG";"ENTIND_X_MICRO";"BURE";2012;713
"A";"53";"DEP";"ENTIND_X_MICRO";"BURE";2012;326
"A";"66";"DEP";"57";"BURE";2012;220
"A";"09";"DEP";"MICRO";"BURE";2015;683
"A";"76";"DEP";"ENTIND_X_MICRO";"BURE";2014;1786
"A";"60";"DEP";"57";"BURE";2013;369
"A";"82";"DEP";"OTH_SIDE";"BURE";2012;15
"A";"54";"DEP";"54";"BURE";2014;646
"A";"79";"DEP";"57";"BURE";2013;69
"A";"07";"DEP";"54";"BURE";2020;250
"A";"47";"DEP";"MICRO";"BURE";2019;1986
"A";"85";"DEP";"ENTIND_X_MICRO";"BURE";2020;1239
"A";"27";"DEP";"MICRO";"BURE";2021;3813
"A";"02";"DEP";"OTH_SIDE";"BURE";2019;68
"A";"34";"DEP";"57";"BURE";2019;3299
"A";"71";"DEP";"57";"BURE";2021;799
"A";"65";"DEP";"MICRO";"BURE";2019;1516
"A";"51";"DEP";"MICRO";"BURE";2020;3633
"A";"76";"REG";"54";"BURE";2018;5707
