creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
6.43,9.55,91.20250000000001,12.13,-0.03,22086.0,2016,Centre-Val de Loire
6.43,9.55,91.20250000000001,12.13,-0.03,26551.0,2016,Centre-Val de Loire
6.81,8.85,78.32249999999999,12.13,-0.06,25089.0,2017,Centre-Val de Loire
6.81,8.85,78.32249999999999,12.13,-0.06,22548.0,2017,Centre-Val de Loire
6.81,8.85,78.32249999999999,12.13,-0.06,26884.0,2017,Centre-Val de Loire
7.8,8.475,71.82562499999999,12.13,-0.13,25553.0,2018,Centre-Val de Loire
7.8,8.475,71.82562499999999,12.13,-0.13,23017.0,2018,Centre-Val de Loire
7.8,8.475,71.82562499999999,12.13,-0.13,27349.0,2018,Centre-Val de Loire
8.96,8.05,64.80250000000001,12.13,0.01,26144.0,2019,Centre-Val de Loire
8.96,8.05,64.80250000000001,12.13,0.01,23650.0,2019,Centre-Val de Loire
8.96,8.05,64.80250000000001,12.13,0.01,27911.0,2019,Centre-Val de Loire
9.53,7.4,54.760000000000005,12.13,0.07,26954.0,2020,Centre-Val de Loire
9.53,7.4,54.760000000000005,12.13,0.07,24535.0,2020,Centre-Val de Loire
9.53,7.4,54.760000000000005,12.13,0.07,28669.0,2020,Centre-Val de Loire
11.57,7.125,50.765625,12.13,-0.06,26936.0,2021,Centre-Val de Loire
11.57,7.125,50.765625,12.13,-0.06,24538.0,2021,Centre-Val de Loire
11.57,7.125,50.765625,12.13,-0.06,28631.0,2021,Centre-Val de Loire
11.54,6.775,45.900625000000005,12.13,0.32,28053.0,2022,Centre-Val de Loire
11.54,6.775,45.900625000000005,12.13,0.32,25711.0,2022,Centre-Val de Loire
11.54,6.775,45.900625000000005,12.13,0.32,29727.0,2022,Centre-Val de Loire
11.45,6.8,46.239999999999995,12.13,0.0,29227.0,2023,Centre-Val de Loire
11.45,6.8,46.239999999999995,12.13,0.0,26842.0,2023,Centre-Val de Loire
11.45,6.8,46.239999999999995,12.13,0.0,30935.0,2023,Centre-Val de Loire
6.29,9.325,86.95562499999998,11.56,0.01,23666.0,2015,Bourgogne-Franche-Comté
6.29,9.325,86.95562499999998,11.56,0.01,20937.0,2015,Bourgogne-Franche-Comté
6.29,9.325,86.95562499999998,11.56,0.01,25538.0,2015,Bourgogne-Franche-Comté
6.53,9.0,81.0,11.56,-0.09,23821.0,2016,Bourgogne-Franche-Comté
6.53,9.0,81.0,11.56,-0.09,21087.0,2016,Bourgogne-Franche-Comté
6.53,9.0,81.0,11.56,-0.09,25700.0,2016,Bourgogne-Franche-Comté
7.05,8.2,67.24,11.56,-0.25,24240.0,2017,Bourgogne-Franche-Comté
7.05,8.2,67.24,11.56,-0.25,21640.0,2017,Bourgogne-Franche-Comté
7.05,8.2,67.24,11.56,-0.25,26017.0,2017,Bourgogne-Franche-Comté
7.8,7.725,59.675625,11.56,-0.13,24697.0,2018,Bourgogne-Franche-Comté
7.8,7.725,59.675625,11.56,-0.13,22041.0,2018,Bourgogne-Franche-Comté
7.8,7.725,59.675625,11.56,-0.13,26524.0,2018,Bourgogne-Franche-Comté
9.0,7.4,54.760000000000005,11.56,-0.08,25370.0,2019,Bourgogne-Franche-Comté
9.0,7.4,54.760000000000005,11.56,-0.08,22753.0,2019,Bourgogne-Franche-Comté
9.0,7.4,54.760000000000005,11.56,-0.08,27179.0,2019,Bourgogne-Franche-Comté
9.74,6.925,47.955625,11.56,-0.14,26123.0,2020,Bourgogne-Franche-Comté
9.74,6.925,47.955625,11.56,-0.14,23599.0,2020,Bourgogne-Franche-Comté
9.74,6.925,47.955625,11.56,-0.14,27873.0,2020,Bourgogne-Franche-Comté
11.24,6.625,43.890625,11.56,-0.05,26110.0,2021,Bourgogne-Franche-Comté
11.24,6.625,43.890625,11.56,-0.05,23626.0,2021,Bourgogne-Franche-Comté
11.24,6.625,43.890625,11.56,-0.05,27830.0,2021,Bourgogne-Franche-Comté
10.97,6.25,39.0625,11.56,0.14,27172.0,2022,Bourgogne-Franche-Comté
10.97,6.25,39.0625,11.56,0.14,24666.0,2022,Bourgogne-Franche-Comté
10.97,6.25,39.0625,11.56,0.14,28937.0,2022,Bourgogne-Franche-Comté
11.15,6.4,40.96000000000001,11.56,-0.13,28283.0,2023,Bourgogne-Franche-Comté
11.15,6.4,40.96000000000001,11.56,-0.13,25756.0,2023,Bourgogne-Franche-Comté
11.15,6.4,40.96000000000001,11.56,-0.13,30068.0,2023,Bourgogne-Franche-Comté
5.75,10.25,105.0625,11.37,0.1,24419.0,2015,Normandie
5.75,10.25,105.0625,11.37,0.1,21481.0,2015,Normandie
5.75,10.25,105.0625,11.37,0.1,26371.0,2015,Normandie
6.07,10.05,101.00250000000001,11.37,-0.1,24530.0,2016,Normandie
6.07,10.05,101.00250000000001,11.37,-0.1,21651.0,2016,Normandie
6.07,10.05,101.00250000000001,11.37,-0.1,26455.0,2016,Normandie
6.55,9.35,87.4225,11.37,-0.16,24942.0,2017,Normandie
6.55,9.35,87.4225,11.37,-0.16,22163.0,2017,Normandie
6.55,9.35,87.4225,11.37,-0.16,26795.0,2017,Normandie
7.57,8.9,79.21000000000001,11.37,-0.09,25390.0,2018,Normandie
7.57,8.9,79.21000000000001,11.37,-0.09,22616.0,2018,Normandie
7.57,8.9,79.21000000000001,11.37,-0.09,27244.0,2018,Normandie
8.74,8.225,67.65062499999999,11.37,-0.07,26060.0,2019,Normandie
8.74,8.225,67.65062499999999,11.37,-0.07,23280.0,2019,Normandie
8.74,8.225,67.65062499999999,11.37,-0.07,27922.0,2019,Normandie
9.44,7.925,62.805625,11.37,0.01,26802.0,2020,Normandie
9.44,7.925,62.805625,11.37,0.01,24111.0,2020,Normandie
9.44,7.925,62.805625,11.37,0.01,28607.0,2020,Normandie
10.98,7.55,57.0025,11.37,0.07,26822.0,2021,Normandie
